input,style,output
"Please confirm your attendance.","funny","RSVP, don’t leave me hanging! 😜"
"Happy anniversary!","formal","Wishing you a joyous anniversary."
"Happy anniversary!","polite","Hope you have a wonderful anniversary!"
"Happy anniversary!","concise","Happy anniversary!"
"Happy anniversary!","funny","Another year of awesomeness together! 🎉"
"Looking forward to your reply.","formal","I look forward to your response."
"Looking forward to your reply.","polite","Eagerly awaiting your reply, please."
"Looking forward to your reply.","concise","Awaiting reply."
"Looking forward to your reply.","funny","Ping me back soon, don’t keep me in suspense! 😉"
"Please check the attachment.","formal","Kindly review the attached document."
"Please check the attachment.","polite","Could you please check the attachment?"
"Please check the attachment.","concise","Check attachment."
"Please check the attachment.","funny","Attachment awaits your eyes! 👀"
"Thanks for your prompt response.","formal","I sincerely appreciate your prompt response."
"Thanks for your prompt response.","polite","Thank you for responding quickly!"
"Thanks for your prompt response.","concise","Thanks for the quick reply."
"Thanks for your prompt response.","funny","Speedy reply! You’re amazing! ⚡"
"Please update me on the status.","formal","Kindly update me on the status at your earliest convenience."
"Please update me on the status.","polite","Could you please update me on the status?"
"Please update me on the status.","concise","Status update?"
"Please update me on the status.","funny","Status report, pretty please? 🕵️‍♂️"
"Meeting has been postponed.","formal","The meeting has been rescheduled."
"Meeting has been postponed.","polite","Just letting you know, the meeting has been postponed."
"Meeting has been postponed.","concise","Meeting postponed."
"Meeting has been postponed.","funny","Meeting postponed… more time for coffee! ☕"
"Great job on the presentation!","formal","Please accept my congratulations on your excellent presentation."
"Great job on the presentation!","polite","Well done on the presentation!"
"Great job on the presentation!","concise","Great job!"
"Great job on the presentation!","funny","Presentation nailed it! 🎯 You rock!"
"Reminder: submit your assignment.","formal","Kindly ensure you submit your assignment on time."
"Reminder: submit your assignment.","polite","Just a friendly reminder to submit your assignment."
"Reminder: submit your assignment.","concise","Submit assignment."
"Reminder: submit your assignment.","funny","Don’t forget your assignment! Time’s ticking ⏰"
"Are you available for a call?","formal","Would you be available for a call at your convenience?"
"Are you available for a call?","polite","Could we schedule a call at a time convenient for you?"
"Are you available for a call?","concise","Available for call?"
"Are you available for a call?","funny","Phone time? Ring-a-ding! 📞"
"Please let me know if you need help.","formal","Kindly inform me if you require any assistance."
"Please let me know if you need help.","polite","Do let me know if you need any help."
"Please let me know if you need help.","concise","Need help?"
"Please let me know if you need help.","funny","SOS! Need backup? I’m here! 😎"
"Looking forward to seeing you.","formal","I eagerly anticipate meeting you."
"Looking forward to seeing you.","polite","Hope to see you soon!"
"Looking forward to seeing you.","concise","See you soon."
"Looking forward to seeing you.","funny","Can’t wait! Don’t make me wait too long! 😜"
"Please find the report attached.","formal","Kindly find the attached report for your review."
"Please find the report attached.","polite","The report is attached; please have a look."
"Please find the report attached.","concise","Report attached."
"Please find the report attached.","funny","Report’s here! Dive in and enjoy! 📄"
"Congrats on your achievement!","formal","Please accept my heartfelt congratulations on your achievement."
"Congrats on your achievement!","polite","Well done on your achievement! Congratulations!"
"Congrats on your achievement!","concise","Congrats!"
"Congrats on your achievement!","funny","You did it! High five! 🙌"
"Please share the meeting agenda.","formal","Kindly share the meeting agenda at your earliest convenience."
"Please share the meeting agenda.","polite","Could you please provide the meeting agenda?"
"Please share the meeting agenda.","concise","Share agenda."
"Please share the meeting agenda.","funny","Agenda alert! Share it before it escapes! 📝"
"Looking forward to your feedback.","formal","I would appreciate your feedback at your earliest convenience."
"Looking forward to your feedback.","polite","Please share your feedback when convenient."
"Looking forward to your feedback.","concise","Feedback?"
"Looking forward to your feedback.","funny","Spill the beans! What do you think? 😎"
"Can you send me the details?","formal","Would you kindly provide me with the details?"
"Can you send me the details?","polite","Could you please send me the details?"
"Can you send me the details?","concise","Send details."
"Can you send me the details?","funny","Give me the deets, pretty please! 😅"
"Please review and approve.","formal","Kindly review and approve at your earliest convenience."
"Please review and approve.","polite","Could you please review and approve?"
"Please review and approve.","concise","Review & approve."
"Please review and approve.","funny","Check it out and stamp it! ✅"
"Hope you are doing well.","formal","I trust you are doing well."
"Hope you are doing well.","polite","I hope you’re doing well!"
"Hope you are doing well.","concise","Hope you’re well."
"Hope you are doing well.","funny","Hey! Hope life’s treating you like a VIP 😎"
